(1)_X,0 --> 3
(167)_X,166 --> 3
(168)_X,167 --> 3
(169)_X,168 --> 3
(170)_X,169 --> 3
(171)_X,170 --> 3
(172)_X,171 --> 3
(173)_X,172 --> 3
(174)_X,173 --> 3
(175)_X,174 --> 3
(176)_X,175 --> 3
(177)_X,176 --> 3
(178)_X,177 --> 3
(179)_X,178 --> 3
(180)_X,179 --> 3
(181)_X,180 --> 3
(182)_X,181 --> 3
(183)_X,182 --> 3
(184)_X,183 --> 3
(185)_X,184 --> 3
(186)_X,185 --> 3
(187)_X,186 --> 3
(188)_X,187 --> 3
(189)_X,188 --> 3
(190)_X,189 --> 3
(191)_X,190 --> 3
(192)_X,191 --> 3
(193)_X,192 --> 3
(194)_X,193 --> 3
(195)_X,194 --> 3
(196)_X,195 --> 3
(197)_X,196 --> 3
(198)_X,197 --> 3
(199)_X,198 --> 3
(200)_X,199 --> 3
(201)_X,200 --> 3
(202)_X,201 --> 3
(203)_X,202 --> 3
(204)_X,203 --> 3
(205)_X,204 --> 3
(206)_X,205 --> 3
(207)_X,206 --> 3
(208)_X,207 --> 3
(209)_X,208 --> 3
(210)_X,209 --> 3
(211)_X,210 --> 3
(212)_X,211 --> 3
(213)_X,212 --> 3
(214)_X,213 --> 3
(215)_X,214 --> 3
(216)_X,215 --> 3
(217)_X,216 --> 3
(218)_X,217 --> 3
(219)_X,218 --> 3
(220)_X,219 --> 3
(221)_X,220 --> 3
(222)_X,221 --> 3
(223)_X,222 --> 3
(224)_X,223 --> 3
(225)_X,224 --> 3
(226)_X,225 --> 3
(227)_X,226 --> 3
(228)_X,227 --> 3
(229)_X,228 --> 3
(230)_X,229 --> 3
(231)_X,230 --> 3
(232)_X,231 --> 3
(233)_X,232 --> 3
(234)_X,233 --> 3
(235)_X,234 --> 3
(236)_X,235 --> 3
(237)_X,236 --> 3
(238)_X,237 --> 3
(239)_X,238 --> 3
(240)_X,239 --> 3
(241)_X,240 --> 3
(242)_X,241 --> 3
(243)_X,242 --> 3
(244)_X,243 --> 3
(245)_X,244 --> 3
(246)_X,245 --> 3
(247)_X,246 --> 3
(248)RED,XBXBUF,0 --> 1
(249)XTY,0,0,20 --> 1
(250)XTY,1,1,20 --> 1
(251)XTY,2,2,20 --> 1
(252)XTY,3,3,20 --> 1
(253)XTY,4,4,20 --> 1
(254)XTY,5,5,20 --> 1
(255)XTY,6,6,20 --> 1
(256)XTY,7,7,20 --> 1
(257)XTY,8,8,20 --> 1
(258)XTY,9,9,20 --> 1
(259)XTY,10,10,20 --> 1
(260)XTY,11,11,20 --> 1
(261)XTY,12,12,20 --> 1
(262)XTY,13,13,20 --> 1
(263)XTY,14,14,20 --> 1
(264)XTY,15,15,20 --> 1
(265)XTY,16,0,20 --> 1
(266)XTY,17,1,20 --> 1
(267)XTY,18,2,20 --> 1
(268)XTY,19,3,20 --> 1
(269)XTY,20,4,20 --> 1
(270)XTY,21,5,20 --> 1
(271)XTY,22,6,20 --> 1
(272)XTY,23,7,20 --> 1
(273)XTY,24,8,20 --> 1
(274)XTY,25,9,20 --> 1
(275)XTY,26,10,20 --> 1
(276)XTY,27,11,20 --> 1
(277)XTY,28,12,20 --> 1
(278)XTY,29,13,20 --> 1
(279)XTY,30,14,20 --> 1
(280)XTY,31,15,20 --> 1
(281)XTY,32,0,20 --> 1
(282)XTY,33,1,20 --> 1
(283)XTY,34,2,20 --> 1
(284)XTY,35,3,20 --> 1
(285)XTY,36,4,20 --> 1
(286)XTY,37,5,20 --> 1
(287)XTY,38,6,20 --> 1
(288)XTY,39,7,20 --> 1
(289)XTY,40,8,20 --> 1
(290)XTY,41,9,20 --> 1
(291)XTY,42,10,20 --> 1
(292)XTY,43,11,20 --> 1
(293)XTY,44,12,20 --> 1
(294)XTY,45,13,20 --> 1
(295)XTY,46,14,20 --> 1
(296)XTY,47,15,20 --> 1
(297)XTY,48,0,20 --> 1
(298)XTY,49,1,20 --> 1
(299)XTY,50,2,20 --> 1
(300)XTY,51,3,20 --> 1
(301)XTY,52,4,20 --> 1
(302)XTY,53,5,20 --> 1
(303)XTY,54,6,20 --> 1
(304)XTY,55,7,20 --> 1
(305)XTY,56,8,20 --> 1
(306)XTY,57,9,20 --> 1
(307)XTY,58,10,20 --> 1
(308)XTY,59,11,20 --> 1
(309)XTY,60,12,20 --> 1
(310)XTY,61,13,20 --> 1
(311)XTY,62,14,20 --> 1
(312)XTY,63,15,20 --> 1
(313)XTY,64,0,20 --> 1
(314)XTY,65,1,20 --> 1
(315)XTY,66,2,20 --> 1
(316)XTY,67,3,20 --> 1
(317)XTY,68,4,20 --> 1
(318)XTY,69,5,20 --> 1
(319)XTY,70,6,20 --> 1
(320)XTY,71,7,20 --> 1
(321)XTY,72,8,20 --> 1
(322)XTY,73,9,20 --> 1
(323)XTY,74,10,20 --> 1
(324)XTY,75,11,20 --> 1
(325)XTY,76,12,20 --> 1
(326)XTY,77,13,20 --> 1
(327)XTY,78,14,20 --> 1
(328)XTY,79,15,20 --> 1
(329)XTY,80,0,20 --> 1
(330)XTY,81,1,20 --> 1
(331)XTY,82,2,20 --> 1
(332)XTY,83,3,20 --> 1
(333)XTY,84,4,20 --> 1
(334)XTY,85,5,20 --> 1
(335)XTY,86,6,20 --> 1
(336)XTY,87,7,20 --> 1
(337)XTY,88,8,20 --> 1
(338)XTY,89,9,20 --> 1
(339)XTY,90,10,20 --> 1
(340)XTY,91,11,20 --> 1
(341)XTY,92,12,20 --> 1
(342)XTY,93,13,20 --> 1
(343)XTY,94,14,20 --> 1
(344)XTY,95,15,20 --> 1
(345)XTY,96,0,20 --> 1
(346)XTY,97,1,20 --> 1
(347)XTY,98,2,20 --> 1
(348)XTY,99,3,20 --> 1
(349)XTY,100,4,20 --> 1
(350)XTY,101,5,20 --> 1
(351)XTY,102,6,20 --> 1
(352)XTY,103,7,20 --> 1
(353)XTY,104,8,20 --> 1
(354)XTY,105,9,20 --> 1
(355)XTY,106,10,20 --> 1
(356)XTY,107,11,20 --> 1
(357)XTY,108,12,20 --> 1
(358)XTY,109,13,20 --> 1
(359)XTY,110,14,20 --> 1
(360)XTY,111,15,20 --> 1
(361)XTY,112,0,20 --> 1
(362)XTY,113,1,20 --> 1
(363)XTY,114,2,20 --> 1
(364)XTY,115,3,20 --> 1
(365)XTY,116,4,20 --> 1
(366)XTY,117,5,20 --> 1
(367)XTY,118,6,20 --> 1
(368)XTY,119,7,20 --> 1
(369)XTY,120,8,20 --> 1
(370)XTY,121,9,20 --> 1
(371)XTY,122,10,20 --> 1
(372)XTY,123,11,20 --> 1
(373)XTY,124,12,20 --> 1
(374)XTY,125,13,20 --> 1
(375)XTY,126,14,20 --> 1
(376)XTY,127,15,20 --> 1
(377)XTY,128,0,20 --> 1
(378)XTY,129,1,20 --> 1
(379)XTY,130,2,20 --> 1
(380)XTY,131,3,20 --> 1
(381)XTY,132,4,20 --> 1
(382)XTY,133,5,20 --> 1
(383)XTY,134,6,20 --> 1
(384)XTY,135,7,20 --> 1
(385)XTY,136,8,20 --> 1
(386)XTY,137,9,20 --> 1
(387)XTY,138,10,20 --> 1
(388)XTY,139,11,20 --> 1
(389)XTY,140,12,20 --> 1
(390)XTY,141,13,20 --> 1
(391)XTY,142,14,20 --> 1
(392)XTY,143,15,20 --> 1
(393)XTY,144,0,20 --> 1
(394)XTY,145,1,20 --> 1
(395)XTY,146,2,20 --> 1
(396)XTY,147,3,20 --> 1
(397)XTY,148,4,20 --> 1
(398)XTY,149,5,20 --> 1
(399)XTY,150,6,20 --> 1
(400)XTY,151,7,20 --> 1
(401)XTY,152,8,20 --> 1
(402)XTY,153,9,20 --> 1
(403)XTY,154,10,20 --> 1
(404)XTY,155,11,20 --> 1
(405)XTY,156,12,20 --> 1
(406)XTY,157,13,20 --> 1
(407)XTY,158,14,20 --> 1
(408)XTY,159,15,20 --> 1
(409)XTY,160,0,20 --> 1
(410)XTY,161,1,20 --> 1
(411)XTY,162,2,20 --> 1
(412)XTY,163,3,20 --> 1
(413)XTY,164,4,20 --> 1
(414)XTY,165,5,20 --> 1
(415)XTY,166,6,20 --> 1
(416)XTY,167,7,20 --> 1
(417)XTY,168,8,20 --> 1
(418)XTY,169,9,20 --> 1
(419)XTY,170,10,20 --> 1
(420)XTY,171,11,20 --> 1
(421)XTY,172,12,20 --> 1
(422)XTY,173,13,20 --> 1
(423)XTY,174,14,20 --> 1
(424)XTY,175,15,20 --> 1
(425)XTY,176,0,20 --> 1
(426)XTY,177,1,20 --> 1
(427)XTY,178,2,20 --> 1
(428)XTY,179,3,20 --> 1
(429)XTY,180,4,20 --> 1
(430)XTY,181,5,20 --> 1
(431)XTY,182,6,20 --> 1
(432)XTY,183,7,20 --> 1
(433)XTY,184,8,20 --> 1
(434)XTY,185,9,20 --> 1
(435)XTY,186,10,20 --> 1
(436)XTY,187,11,20 --> 1
(437)XTY,188,12,20 --> 1
(438)XTY,189,13,20 --> 1
(439)XTY,190,14,20 --> 1
(440)XTY,191,15,20 --> 1
(441)XTY,192,0,20 --> 1
(442)XTY,193,1,20 --> 1
(443)XTY,194,2,20 --> 1
(444)XTY,195,3,20 --> 1
(445)XTY,196,4,20 --> 1
(446)XTY,197,5,20 --> 1
(447)XTY,198,6,20 --> 1
(448)XTY,199,7,20 --> 1
(449)XTY,200,8,20 --> 1
(450)XTY,201,9,20 --> 1
(451)XTY,202,10,20 --> 1
(452)XTY,203,11,20 --> 1
(453)XTY,204,12,20 --> 1
(454)XTY,205,13,20 --> 1
(455)XTY,206,14,20 --> 1
(456)XTY,207,15,20 --> 1
(457)XTY,208,0,20 --> 1
(458)XTY,209,1,20 --> 1
(459)XTY,210,2,20 --> 1
(460)XTY,211,3,20 --> 1
(461)XTY,212,4,20 --> 1
(462)XTY,213,5,20 --> 1
(463)XTY,214,6,20 --> 1
(464)XTY,215,7,20 --> 1
(465)XTY,216,8,20 --> 1
(466)XTY,217,9,20 --> 1
(467)XTY,218,10,20 --> 1
(468)XTY,219,11,20 --> 1
(469)XTY,220,12,20 --> 1
(470)XTY,221,13,20 --> 1
(471)XTY,222,14,20 --> 1
(472)XTY,223,15,20 --> 1
(473)XTY,224,0,20 --> 1
(474)XTY,225,1,20 --> 1
(475)XTY,226,2,20 --> 1
(476)XTY,227,3,20 --> 1
(477)XTY,228,4,20 --> 1
(478)XTY,229,5,20 --> 1
(479)XTY,230,6,20 --> 1
(480)XTY,231,7,20 --> 1
(481)XTY,232,8,20 --> 1
(482)XTY,233,9,20 --> 1
(483)XTY,234,10,20 --> 1
(484)XTY,235,11,20 --> 1
(485)XTY,236,12,20 --> 1
(486)XTY,237,13,20 --> 1
(487)XTY,238,14,20 --> 1
(488)XTY,239,15,20 --> 1
(489)XTY,240,0,20 --> 1
(490)XTY,241,1,20 --> 1
(491)XTY,242,2,20 --> 1
(492)XTY,243,3,20 --> 1
(493)XTY,244,4,20 --> 1
(494)XTY,245,5,20 --> 1
(495)XTY,246,6,20 --> 1
(496)CHOL,XBX --> 1
(497)DLACPY,0,20 --> 1
(498)INV,XBX --> 247
(499)XY,0,20 --> 1
(500)XY,1,20 --> 1
(501)XY,2,20 --> 1
(502)XY,3,20 --> 1
(503)XY,4,20 --> 1
(504)XY,5,20 --> 1
(505)XY,6,20 --> 1
(506)XY,7,20 --> 1
(507)XY,8,20 --> 1
(508)XY,9,20 --> 1
(509)XY,10,20 --> 1
(510)XY,11,20 --> 1
(511)XY,12,20 --> 1
(512)XY,13,20 --> 1
(513)XY,14,20 --> 1
(514)XY,15,20 --> 1
(515)XY,16,20 --> 1
(516)XY,17,20 --> 1
(517)XY,18,20 --> 1
(518)XY,19,20 --> 1
(519)XY,20,20 --> 1
(520)XY,21,20 --> 1
(521)XY,22,20 --> 1
(522)XY,23,20 --> 1
(523)XY,24,20 --> 1
(524)XY,25,20 --> 1
(525)XY,26,20 --> 1
(526)XY,27,20 --> 1
(527)XY,28,20 --> 1
(528)XY,29,20 --> 1
(529)XY,30,20 --> 1
(530)XY,31,20 --> 1
(531)XY,32,20 --> 1
(532)XY,33,20 --> 1
(533)XY,34,20 --> 1
(534)XY,35,20 --> 1
(535)XY,36,20 --> 1
(536)XY,37,20 --> 1
(537)XY,38,20 --> 1
(538)XY,39,20 --> 1
(539)XY,40,20 --> 1
(540)XY,41,20 --> 1
(541)XY,42,20 --> 1
(542)XY,43,20 --> 1
(543)XY,44,20 --> 1
(544)XY,45,20 --> 1
(545)XY,46,20 --> 1
(546)XY,47,20 --> 1
(547)XY,48,20 --> 1
(548)XY,49,20 --> 1
(549)XY,50,20 --> 1
(550)XY,51,20 --> 1
(551)XY,52,20 --> 1
(552)XY,53,20 --> 1
(553)XY,54,20 --> 1
(554)XY,55,20 --> 1
(555)XY,56,20 --> 1
(556)XY,57,20 --> 1
(557)XY,58,20 --> 1
(558)XY,59,20 --> 1
(559)XY,60,20 --> 1
(560)XY,61,20 --> 1
(561)XY,62,20 --> 1
(562)XY,63,20 --> 1
(563)XY,64,20 --> 1
(564)XY,65,20 --> 1
(565)XY,66,20 --> 1
(566)XY,67,20 --> 1
(567)XY,68,20 --> 1
(568)XY,69,20 --> 1
(569)XY,70,20 --> 1
(570)XY,71,20 --> 1
(571)XY,72,20 --> 1
(572)XY,73,20 --> 1
(573)XY,74,20 --> 1
(574)XY,75,20 --> 1
(575)XY,76,20 --> 1
(576)XY,77,20 --> 1
(577)XY,78,20 --> 1
(578)XY,79,20 --> 1
(579)XY,80,20 --> 1
(580)XY,81,20 --> 1
(581)XY,82,20 --> 1
(582)XY,83,20 --> 1
(583)XY,84,20 --> 1
(584)XY,85,20 --> 1
(585)XY,86,20 --> 1
(586)XY,87,20 --> 1
(587)XY,88,20 --> 1
(588)XY,89,20 --> 1
(589)XY,90,20 --> 1
(590)XY,91,20 --> 1
(591)XY,92,20 --> 1
(592)XY,93,20 --> 1
(593)XY,94,20 --> 1
(594)XY,95,20 --> 1
(595)XY,96,20 --> 1
(596)XY,97,20 --> 1
(597)XY,98,20 --> 1
(598)XY,99,20 --> 1
(599)XY,100,20 --> 1
(600)XY,101,20 --> 1
(601)XY,102,20 --> 1
(602)XY,103,20 --> 1
(603)XY,104,20 --> 1
(604)XY,105,20 --> 1
(605)XY,106,20 --> 1
(606)XY,107,20 --> 1
(607)XY,108,20 --> 1
(608)XY,109,20 --> 1
(609)XY,110,20 --> 1
(610)XY,111,20 --> 1
(611)XY,112,20 --> 1
(612)XY,113,20 --> 1
(613)XY,114,20 --> 1
(614)XY,115,20 --> 1
(615)XY,116,20 --> 1
(616)XY,117,20 --> 1
(617)XY,118,20 --> 1
(618)XY,119,20 --> 1
(619)XY,120,20 --> 1
(620)XY,121,20 --> 1
(621)XY,122,20 --> 1
(622)XY,123,20 --> 1
(623)XY,124,20 --> 1
(624)XY,125,20 --> 1
(625)XY,126,20 --> 1
(626)XY,127,20 --> 1
(627)XY,128,20 --> 1
(628)XY,129,20 --> 1
(629)XY,130,20 --> 1
(630)XY,131,20 --> 1
(631)XY,132,20 --> 1
(632)XY,133,20 --> 1
(633)XY,134,20 --> 1
(634)XY,135,20 --> 1
(635)XY,136,20 --> 1
(636)XY,137,20 --> 1
(637)XY,138,20 --> 1
(638)XY,139,20 --> 1
(639)XY,140,20 --> 1
(640)XY,141,20 --> 1
(641)XY,142,20 --> 1
(642)XY,143,20 --> 1
(643)XY,144,20 --> 1
(644)XY,145,20 --> 1
(645)XY,146,20 --> 1
(646)XY,147,20 --> 1
(647)XY,148,20 --> 1
(648)XY,149,20 --> 1
(649)XY,150,20 --> 1
(650)XY,151,20 --> 1
(651)XY,152,20 --> 1
(652)XY,153,20 --> 1
(653)XY,154,20 --> 1
(654)XY,155,20 --> 1
(655)XY,156,20 --> 1
(656)XY,157,20 --> 1
(657)XY,158,20 --> 1
(658)XY,159,20 --> 1
(659)XY,160,20 --> 1
(660)XY,161,20 --> 1
(661)XY,162,20 --> 1
(662)XY,163,20 --> 1
(663)XY,164,20 --> 1
(664)XY,165,20 --> 1
(665)XY,166,20 --> 1
(666)XY,167,20 --> 1
(667)XY,168,20 --> 1
(668)XY,169,20 --> 1
(669)XY,170,20 --> 1
(670)XY,171,20 --> 1
(671)XY,172,20 --> 1
(672)XY,173,20 --> 1
(673)XY,174,20 --> 1
(674)XY,175,20 --> 1
(675)XY,176,20 --> 1
(676)XY,177,20 --> 1
(677)XY,178,20 --> 1
(678)XY,179,20 --> 1
(679)XY,180,20 --> 1
(680)XY,181,20 --> 1
(681)XY,182,20 --> 1
(682)XY,183,20 --> 1
(683)XY,184,20 --> 1
(684)XY,185,20 --> 1
(685)XY,186,20 --> 1
(686)XY,187,20 --> 1
(687)XY,188,20 --> 1
(688)XY,189,20 --> 1
(689)XY,190,20 --> 1
(690)XY,191,20 --> 1
(691)XY,192,20 --> 1
(692)XY,193,20 --> 1
(693)XY,194,20 --> 1
(694)XY,195,20 --> 1
(695)XY,196,20 --> 1
(696)XY,197,20 --> 1
(697)XY,198,20 --> 1
(698)XY,199,20 --> 1
(699)XY,200,20 --> 1
(700)XY,201,20 --> 1
(701)XY,202,20 --> 1
(702)XY,203,20 --> 1
(703)XY,204,20 --> 1
(704)XY,205,20 --> 1
(705)XY,206,20 --> 1
(706)XY,207,20 --> 1
(707)XY,208,20 --> 1
(708)XY,209,20 --> 1
(709)XY,210,20 --> 1
(710)XY,211,20 --> 1
(711)XY,212,20 --> 1
(712)XY,213,20 --> 1
(713)XY,214,20 --> 1
(714)XY,215,20 --> 1
(715)XY,216,20 --> 1
(716)XY,217,20 --> 1
(717)XY,218,20 --> 1
(718)XY,219,20 --> 1
(719)XY,220,20 --> 1
(720)XY,221,20 --> 1
(721)XY,222,20 --> 1
(722)XY,223,20 --> 1
(723)XY,224,20 --> 1
(724)XY,225,20 --> 1
(725)XY,226,20 --> 1
(726)XY,227,20 --> 1
(727)XY,228,20 --> 1
(728)XY,229,20 --> 1
(729)XY,230,20 --> 1
(730)XY,231,20 --> 1
(731)XY,232,20 --> 1
(732)XY,233,20 --> 1
(733)XY,234,20 --> 1
(734)XY,235,20 --> 1
(735)XY,236,20 --> 1
(736)XY,237,20 --> 1
(737)XY,238,20 --> 1
(738)XY,239,20 --> 1
(739)XY,240,20 --> 1
(740)XY,241,20 --> 1
(741)XY,242,20 --> 1
(742)XY,243,20 --> 1
(743)XY,244,20 --> 1
(744)XY,245,20 --> 1
(745)XY,246,20 --> 1
(746)DLACPY,0,21 --> 21
(747)DLACPY,1,21 --> 25
(748)DLACPY,2,21 --> 25
(749)DLACPY,3,21 --> 25
(750)DLACPY,4,21 --> 22
(751)DLACPY,5,21 --> 17
(752)DLACPY,6,21 --> 18
(753)DLACPY,7,21 --> 18
(754)DLACPY,8,21 --> 18
(755)DLACPY,9,21 --> 19
(756)DLACPY,10,21 --> 19
(757)DLACPY,11,21 --> 18
(758)DLACPY,12,21 --> 22
(759)DLACPY,13,21 --> 18
(760)DLACPY,14,21 --> 19
(761)DLACPY,15,21 --> 18
(762)DLACPY,16,21 --> 17
(763)DLACPY,17,21 --> 17
(764)DLACPY,18,21 --> 18
(765)DLACPY,19,21 --> 20
(766)DLACPY,20,21 --> 22
(767)DLACPY,21,21 --> 26
(768)DLACPY,22,21 --> 25
(769)DLACPY,23,21 --> 25
(770)DLACPY,24,21 --> 22
(771)DLACPY,25,21 --> 24
(772)DLACPY,26,21 --> 20
(773)DLACPY,27,21 --> 22
(774)DLACPY,28,21 --> 22
(775)DLACPY,29,21 --> 26
(776)DLACPY,30,21 --> 24
(777)DLACPY,31,21 --> 23
(778)DLACPY,32,21 --> 26
(779)DLACPY,33,21 --> 24
(780)DLACPY,34,21 --> 25
(781)DLACPY,35,21 --> 23
(782)DLACPY,36,21 --> 24
(783)DLACPY,37,21 --> 22
(784)DLACPY,38,21 --> 26
(785)DLACPY,39,21 --> 25
(786)DLACPY,40,21 --> 24
(787)DLACPY,41,21 --> 25
(788)DLACPY,42,21 --> 26
(789)DLACPY,43,21 --> 24
(790)DLACPY,44,21 --> 22
(791)DLACPY,45,21 --> 23
(792)DLACPY,46,21 --> 27
(793)DLACPY,47,21 --> 25
(794)DLACPY,48,21 --> 25
(795)DLACPY,49,21 --> 23
(796)DLACPY,50,21 --> 24
(797)DLACPY,51,21 --> 21
(798)DLACPY,52,21 --> 24
(799)DLACPY,53,21 --> 22
(800)DLACPY,54,21 --> 19
(801)DLACPY,55,21 --> 26
(802)DLACPY,56,21 --> 27
(803)DLACPY,57,21 --> 25
(804)DLACPY,58,21 --> 29
(805)DLACPY,59,21 --> 23
(806)DLACPY,60,21 --> 36
(807)DLACPY,61,21 --> 34
(808)DLACPY,62,21 --> 36
(809)DLACPY,63,21 --> 33
(810)DLACPY,64,21 --> 20
(811)DLACPY,65,21 --> 9
(812)DLACPY,66,21 --> 8
(813)DLACPY,67,21 --> 9
(814)DLACPY,68,21 --> 12
(815)DLACPY,69,21 --> 16
(816)DLACPY,70,21 --> 21
(817)DLACPY,71,21 --> 22
(818)DLACPY,72,21 --> 17
(819)DLACPY,73,21 --> 15
(820)DLACPY,74,21 --> 10
(821)DLACPY,75,21 --> 12
(822)DLACPY,76,21 --> 12
(823)DLACPY,77,21 --> 12
(824)DLACPY,78,21 --> 12
(825)DLACPY,79,21 --> 12
(826)DLACPY,80,21 --> 12
(827)DLACPY,81,21 --> 15
(828)DLACPY,82,21 --> 16
(829)DLACPY,83,21 --> 18
(830)DLACPY,84,21 --> 19
(831)DLACPY,85,21 --> 20
(832)DLACPY,86,21 --> 20
(833)DLACPY,87,21 --> 20
(834)DLACPY,88,21 --> 20
(835)DLACPY,89,21 --> 20
(836)DLACPY,90,21 --> 18
(837)DLACPY,91,21 --> 20
(838)DLACPY,92,21 --> 21
(839)DLACPY,93,21 --> 20
(840)DLACPY,94,21 --> 20
(841)DLACPY,95,21 --> 19
(842)DLACPY,96,21 --> 19
(843)DLACPY,97,21 --> 20
(844)DLACPY,98,21 --> 20
(845)DLACPY,99,21 --> 21
(846)DLACPY,100,21 --> 20
(847)DLACPY,101,21 --> 19
(848)DLACPY,102,21 --> 18
(849)DLACPY,103,21 --> 17
(850)DLACPY,104,21 --> 16
(851)DLACPY,105,21 --> 12
(852)DLACPY,106,21 --> 12
(853)DLACPY,107,21 --> 15
(854)DLACPY,108,21 --> 17
(855)DLACPY,109,21 --> 20
(856)DLACPY,110,21 --> 23
(857)DLACPY,111,21 --> 24
(858)DLACPY,112,21 --> 23
(859)DLACPY,113,21 --> 24
(860)DLACPY,114,21 --> 19
(861)DLACPY,115,21 --> 20
(862)DLACPY,116,21 --> 13
(863)DLACPY,117,21 --> 16
(864)DLACPY,118,21 --> 16
(865)DLACPY,119,21 --> 15
(866)DLACPY,120,21 --> 15
(867)DLACPY,121,21 --> 15
(868)DLACPY,122,21 --> 15
(869)DLACPY,123,21 --> 15
(870)DLACPY,124,21 --> 15
(871)DLACPY,125,21 --> 16
(872)DLACPY,126,21 --> 15
(873)DLACPY,127,21 --> 15
(874)DLACPY,128,21 --> 15
(875)DLACPY,129,21 --> 15
(876)DLACPY,130,21 --> 16
(877)DLACPY,131,21 --> 15
(878)DLACPY,132,21 --> 16
(879)DLACPY,133,21 --> 16
(880)DLACPY,134,21 --> 15
(881)DLACPY,135,21 --> 15
(882)DLACPY,136,21 --> 15
(883)DLACPY,137,21 --> 15
(884)DLACPY,138,21 --> 15
(885)DLACPY,139,21 --> 15
(886)DLACPY,140,21 --> 16
(887)DLACPY,141,21 --> 15
